epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,57229.4,0.78711,1.76997,0.59107,1.06853,0,0.9267,0.95814,0.98068,0.8431,0.92868,0.94882,0.97432,0.716,0.54543,1.26846,0.38727,0.90952,0,0.0008912,0.0008912,0.0008912
58,58259,0.7713,1.69606,0.58584,1.05945,0,0.9318,0.95814,0.98302,0.85088,0.93643,0.95426,0.9821,0.73545,0.54814,1.24968,0.37245,0.90109,0,0.0008714,0.0008714,0.0008714
59,69949,0.77901,1.74128,0.58286,1.05413,0,0.94038,0.95379,0.98304,0.84232,0.93382,0.94186,0.97182,0.71626,0.55466,1.27409,0.36874,0.90668,0,0.0008516,0.0008516,0.0008516
60,70619.3,0.73535,1.67143,0.54912,1.04426,0,0.93259,0.96124,0.98449,0.85225,0.92582,0.95426,0.98115,0.73164,0.54823,1.23433,0.36777,0.90136,0,0.0008318,0.0008318,0.0008318
61,71255.3,0.74091,1.68387,0.55168,1.04301,0,0.94374,0.9493,0.98537,0.84278,0.93903,0.95507,0.97961,0.73652,0.5713,1.23175,0.35891,0.91124,0,0.000812,0.000812,0.000812
62,71892.9,0.75737,1.72491,0.55549,1.05751,0,0.94664,0.95581,0.98666,0.85281,0.94767,0.95659,0.98262,0.72975,0.53454,1.23104,0.3533,0.89564,0,0.0007922,0.0007922,0.0007922
63,72524.1,0.74376,1.67955,0.56051,1.05377,0,0.96213,0.94419,0.98684,0.85564,0.96299,0.94807,0.98691,0.74256,0.52944,1.22816,0.3385,0.88919,0,0.0007724,0.0007724,0.0007724
64,73156.1,0.73258,1.70212,0.55558,1.04378,0,0.95147,0.95969,0.9882,0.8635,0.95149,0.95798,0.98705,0.74519,0.52887,1.21831,0.33797,0.88905,0,0.0007526,0.0007526,0.0007526
65,73797.1,0.72949,1.64926,0.53109,1.02985,0,0.94998,0.95698,0.98602,0.86134,0.94916,0.95523,0.98493,0.7439,0.51897,1.20593,0.34774,0.8838,0,0.0007328,0.0007328,0.0007328
66,74426.4,0.71712,1.64671,0.51739,1.02695,0,0.9453,0.96455,0.987,0.86631,0.94302,0.96223,0.98407,0.74563,0.52074,1.19165,0.33699,0.88719,0,0.000713,0.000713,0.000713
