epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,89706.5,0.65318,0.36895,0.98628,1,0.99966,0.995,0.89717,0.50574,0.24362,0.85587,0.0002972,0.0002972,0.0002972
88,90071.6,0.63047,0.35007,0.97561,0.99962,0.99854,0.995,0.90346,0.48968,0.23728,0.85059,0.0002774,0.0002774,0.0002774
89,90434,0.62205,0.3517,0.9774,0.99853,1,0.995,0.90193,0.49037,0.23779,0.849,0.0002576,0.0002576,0.0002576
90,90797.1,0.63662,0.3488,0.98798,0.99821,0.99854,0.995,0.89952,0.49842,0.24032,0.85334,0.0002378,0.0002378,0.0002378
91,91159.4,0.53709,0.27454,0.92783,0.99954,1,0.995,0.8901,0.5016,0.24497,0.85422,0.000218,0.000218,0.000218
92,91521.2,0.51953,0.26199,0.92575,0.99854,0.99969,0.995,0.89409,0.49238,0.24237,0.85174,0.0001982,0.0001982,0.0001982
93,91883,0.51709,0.27019,0.9144,0.99852,1,0.995,0.89807,0.48395,0.23554,0.84639,0.0001784,0.0001784,0.0001784
94,92245.2,0.51768,0.25893,0.92456,0.99837,1,0.995,0.90381,0.48314,0.23338,0.84763,0.0001586,0.0001586,0.0001586
95,92605.7,0.50686,0.2511,0.91609,0.99964,1,0.995,0.90535,0.47584,0.2303,0.84342,0.0001388,0.0001388,0.0001388
96,92969.4,0.502,0.24744,0.91059,0.99961,1,0.995,0.90826,0.46682,0.22455,0.83974,0.000119,0.000119,0.000119
97,93331.6,0.50219,0.24629,0.90812,0.99958,1,0.995,0.90925,0.46865,0.22614,0.84276,9.92e-05,9.92e-05,9.92e-05
98,93693.1,0.49069,0.24536,0.89707,0.99974,1,0.995,0.90768,0.46816,0.22511,0.84273,7.94e-05,7.94e-05,7.94e-05
99,94030.7,0.48222,0.23561,0.9069,0.99977,1,0.995,0.9121,0.4664,0.22411,0.84029,5.96e-05,5.96e-05,5.96e-05
100,94184.7,0.48733,0.24115,0.90361,0.9998,1,0.995,0.91261,0.46183,0.22237,0.83768,3.98e-05,3.98e-05,3.98e-05
